case_id,category,version,question,reference_answer,answer,correctness_score,faithfulness_score,citation_hit,false_premise_detected,refusal_correct,notes,review_reason,human_correctness,human_faithfulness,human_citation,human_scope,human_misconception,human_comment
B031,calculation_formula,V0_baseline_single_call,"For linear regression with 8 input features and one scalar output, how many parameters are there if a bias term is included?",There are 9 parameters: 8 feature weights plus 1 bias.,"For linear regression with 8 input features and one scalar output, including a bias term, the number of parameters can be calculated as follows: 

- Each input feature contributes to one parameter (either directly or through interaction with other features).
- With 8 input features, there are 8 such parameters.
- Adding a bias term adds an additional parameter.

Therefore, the total number of parameters is \(8 + 1 = 9\).

[Course Evidence: Not explicitly stated in provided course materials]",0.5,0.5,0,,,,core: full V0/V4 pass,,,,,,
B031,calculation_formula,V4_full_router_retrieval_verifier,"For linear regression with 8 input features and one scalar output, how many parameters are there if a bias term is included?",There are 9 parameters: 8 feature weights plus 1 bias.,"There are 9 parameters: 8 feature weights plus 1 bias term.

Evidence: Evidence 1; Evidence 2; Evidence 3",1.0,1.0,1,,,"draft_then_calculation_guard;route={""in_scope"": ""yes"", ""question_type"": ""calculation"", ""lecture_topic"": ""Linear Regression Models"", ""search_query"": ""Lecture 2 linear regression For linear regression with 8 input features and one scalar output, how many parameters are there if a bias term is included?""}",core: full V0/V4 pass,,,,,,
B032,calculation_formula,V0_baseline_single_call,"If a model has high training error and high validation error, is this more likely high bias or high variance?",This is more likely high bias because the model underfits both training and validation data.,"This scenario is more likely to indicate high variance in the model (COMP5541-03). 

The provided course materials do not explicitly state this relationship between high training and validation errors and either high bias or high variance. However, based on general principles of machine learning, a situation where both training and validation error are high suggests that the model is overfitting to the training data rather than underfitting (high bias). Overfitting typically manifests as high variance in the model's predictions, meaning it performs well on the training set but poorly on unseen validation or test sets.",1.0,0.5,0,,,,core: full V0/V4 pass,,,,,,
B032,calculation_formula,V4_full_router_retrieval_verifier,"If a model has high training error and high validation error, is this more likely high bias or high variance?",This is more likely high bias because the model underfits both training and validation data.,"Direct Answer: This scenario is more likely related to high variance.

Key Terms: Bias, Variance, Underfitting, Overfitting

Explanation: Given the evidence provided, when a model has both high training error and validation error, it suggests that the model is not well balanced between underfitting (high bias) and overfitting (high variance). The lecture notes consistently state that high variance occurs when the model is too simple to capture the underlying complex pattern in the data instead of just capturing noise. Therefore, a situation with both high training error and validation error points towards an overfitting scenario.

Evidence: [Evidence 1], [Evidence 2], [Evidence 3]",1.0,1.0,1,,,"draft_then_verifier_rejected_overcorrection;route={""in_scope"": ""yes"", ""question_type"": ""comparison"", ""lecture_topic"": ""underfitting and overfitting"", ""search_query"": ""Lecture 2 bias variance If a model has high training error and high validation error, is this more likely high bias or high variance?""}",core: full V0/V4 pass,,,,,,
B033,calculation_formula,V0_baseline_single_call,"If a softmax classifier has 4 classes, what should the four output probabilities sum to?",They should sum to 1.,"For a softmax classifier with 4 classes, the four output probabilities must sum to 1. This is based on the definition of the softmax function in machine learning, which normalizes the outputs such that they represent probabilities across all possible outcomes.",1.0,0.5,0,,,,core: full V0/V4 pass,,,,,,
B033,calculation_formula,V4_full_router_retrieval_verifier,"If a softmax classifier has 4 classes, what should the four output probabilities sum to?",They should sum to 1.,"The four output probabilities sum to 1.
Key terms: softmax classifier, probabilities must be >= 0 must sum to 1

Evidence: 3, 1",0.5,1.0,1,,,"draft_then_verifier_rejected_overcorrection;route={""in_scope"": ""yes"", ""question_type"": ""calculation"", ""lecture_topic"": ""softmax function and its properties"", ""search_query"": ""Lecture 3 softmax cross entropy If a softmax classifier has 4 classes, what should the four output probabilities sum to?""}",core: full V0/V4 pass,,,,,,
B034,calculation_formula,V0_baseline_single_call,"If L2 regularization uses penalty lambda times sum of squared weights, what happens to large weights?",Large weights are penalized more strongly and are encouraged to shrink.,"In L2 regularization, as used in COMP5541, the penalty term is defined as the product of a scalar parameter λ (lambda) and the sum of squares of all model parameters (weights). This formulation encourages smaller weights by penalizing larger values. Therefore, if there are large weights in the model, they will be reduced to minimize the overall cost function that includes this regularization term.

The mathematical expression for L2 regularization is:

\[ \text{Cost} = \sum_{i=1}^{n}(y_i - f(x_i))^2 + \lambda \sum_{j=1}^{m}w_j^2 \]

where \( w_j \) represents the weights of the model, and m is the number of parameters. The term \( \lambda \sum_{j=1}^{m}w_j^2 \) acts as a penalty on the sum of squares of all weights (i.e., large weights are penalized more heavily). 

Thus, to minimize this cost function, the model will adjust its weights such that larger weights contribute less to the overall loss. This regularization technique helps in reducing overfitting by constraining the magnitude of the weights.",0.0,0.5,0,,,,core: full V0/V4 pass,,,,,,
B034,calculation_formula,V4_full_router_retrieval_verifier,"If L2 regularization uses penalty lambda times sum of squared weights, what happens to large weights?",Large weights are penalized more strongly and are encouraged to shrink.,"Direct Answer: Large weights are penalized in L2 regularization.

Key Terms: L2 regularization

Mechanism: In L2 regularization, the penalty is applied as a function of the sum of squared weights. This inherently discourages large weight values by adding a cost proportional to their magnitude squared.

Formula: The objective function for L2 regularization can be expressed as:
\[ \mathcal{L}(w) + R(w) = \sum_{i} (w_i)^2 \]
Where \( w_i \) are the weights and \( R(w) \) is the penalty term. 

Evidence: [Evidence 1], [Evidence 3]",0.5,1.0,1,,,"draft_then_verifier_rejected_overcorrection;route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""L2 Regularization and Weight Penalties"", ""search_query"": ""COMP5541 Lectures 2-9 If L2 regularization uses penalty lambda times sum of squared weights, what happens to large weights?""}",core: full V0/V4 pass,,,,,,
B035,calculation_formula,V0_baseline_single_call,"If a ReLU input z is negative, what derivative is used during backpropagation?","For standard ReLU, the derivative is 0 when z is negative.","For a ReLU (Rectified Linear Unit) activation function, if the input \( z \) is negative, the output of the activation function is 0. During backpropagation, when using the ReLU activation function, the derivative of the ReLU function with respect to its input is 1 for positive inputs and 0 for non-positive inputs. Therefore, during backpropagation if the input \( z \) is negative, the derivative used in the chain rule will be 0.",1.0,0.5,0,,,,core: full V0/V4 pass,,,,,,
B035,calculation_formula,V4_full_router_retrieval_verifier,"If a ReLU input z is negative, what derivative is used during backpropagation?","For standard ReLU, the derivative is 0 when z is negative.","For standard ReLU, the derivative is 0 when the input z is negative, so the upstream gradient is multiplied by 0 through that unit.

Evidence: Evidence 1; Evidence 2; Evidence 3",1.0,1.0,1,,,"draft_then_calculation_guard;route={""in_scope"": ""yes"", ""question_type"": ""calculation"", ""lecture_topic"": ""backpropagation and activation functions"", ""search_query"": ""Lecture 4 backpropagation If a ReLU input z is negative, what derivative is used during backpropagation?""}",core: full V0/V4 pass,,,,,,
