case_id,category,lecture_scope,question,reference_answer,source_hint,required_terms,false_premise,expected_behavior,version,answer,retrieved_ids,retrieved_sources,provider,model,latency_s,llm_calls,input_tokens_est,output_tokens_est,notes,correctness_score,faithfulness_score,citation_hit,false_premise_detected,refusal_correct,human_comment
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,V0_baseline_single_call,"The main assumption behind the K-nearest neighbor (KNN) classifier is that instances of the same class will have neighbors with similar characteristics. This assumption is based on the principle that points which are close to each other in feature space are likely to belong to the same class, as stated in evidence [COMP5541-3].",,,ollama,qwen2.5:3b,13.393004666999332,1,96,82,,0.0,0.5,0,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,V1_retrieval_only,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,2.44739237500471,1,674,97,,0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,V2_router_rewrite_retrieval,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,3.265435042001627,2,834,143,"route={'in_scope': 'yes', 'question_type': 'concept', 'lecture_topic': 'K-Nearest Neighbors (KNN) algorithm', 'search_query': 'COMP5541 Lectures 2-9 What is the main assumption behind the K-nearest neighbor classifier?'}",0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,V3_retrieval_verifier,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,4.849372249998851,2,1589,164,draft_then_verifier_rejected_overcorrection,0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,V4_full_router_retrieval_verifier,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,5.580362958000478,3,1753,210,"route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""K-Nearest Neighbors (KNN) algorithm"", ""search_query"": ""COMP5541 Lectures 2-9 What is the main assumption behind the K-nearest neighbor classifier?""}",0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,A1_full_without_router,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,4.576485500001581,2,1589,164,"route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""COMP5541 Lectures 2-9"", ""search_query"": ""COMP5541 Lectures 2-9 What is the main assumption behind the K-nearest neighbor classifier?""}",0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,A2_full_without_verifier,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,3.265435042001627,2,834,143,"route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""K-Nearest Neighbors (KNN) algorithm"", ""search_query"": ""COMP5541 Lectures 2-9 What is the main assumption behind the K-nearest neighbor classifier?""}",0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,A3_full_topk2,"The main assumption behind the K-nearest neighbor classifier is that objects similar in features are located in close proximity to each other in the feature space.

Key Course Terms: Feature Space

Explanation:
The lecture notes indicate that the K-Nearest Neighbor (KNN) Classifier operates under the assumption that points with similar features will be near one another in the feature space. This assumption is fundamental for the classifier's operation, as it relies on finding and comparing the distances between a query point and its k-nearest neighbors to make predictions.

Evidence: [Evidence 1], [Evidence 2]",d5b4a491ab9d;91b25784e606,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606",ollama,qwen2.5:3b,6.031966082995496,3,1271,321,"route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""K-Nearest Neighbors (KNN) algorithm"", ""search_query"": ""COMP5541 Lectures 2-9 What is the main assumption behind the K-nearest neighbor classifier?""}",0.0,1.0,1,,,auto-score; manually sanity-check before final submission
E001,concept,L2,What is the main assumption behind the K-nearest neighbor classifier?,Nearby points in feature space are likely to have similar labels or properties.,Lecture 2 KNN assumption,feature space;nearby;similar labels,no,answer,A4_full_without_calculation_guard,"The main assumption behind the K-nearest neighbor classifier is that data points which are closer in feature space tend to have similar labels or properties.

Key Course Terms:
- Supervised Learning Method

Caveat:
- The classifier is fast during testing but slow during training, as indicated by O(1) for training and O(N) for testing time complexity. 

Evidence: [Evidence 4], [Evidence 5]",d5b4a491ab9d;91b25784e606;f55fc8f47abf;cdf6d6c2ccf9;fffd4aed3433,"Lecture2-2026-COMP5541(1).pdf, page 15, chunk d5b4a491ab9d;Lecture2-2026-COMP5541(1).pdf, page 17, chunk 91b25784e606;Lecture2-2026-COMP5541(1).pdf, page 6, chunk f55fc8f47abf;Lecture2-2026-COMP5541(1).pdf, page 8, chunk cdf6d6c2ccf9;Lecture2-2026-COMP5541(1).pdf, page 16, chunk fffd4aed3433",ollama,qwen2.5:3b,5.580362958000478,3,1753,210,"route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""K-Nearest Neighbors (KNN) algorithm"", ""search_query"": ""COMP5541 Lectures 2-9 What is the main assumption behind the K-nearest neighbor classifier?""}",0.5,1.0,1,,,auto-score; manually sanity-check before final submission
E002,concept,L2,Why is KNN called a non-parametric method?,KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.,Lecture 2 KNN non-parametric,stores training data;no fixed parameters,no,answer,V0_baseline_single_call,"KNN (k-Nearest Neighbors) is called a non-parametric method because it does not rely on a specific parametric form to model the data; instead, it makes predictions based solely on the available training data. This approach avoids making assumptions about the underlying distribution of the data, thus adhering to the definition of non-parametric methods which do not assume any fixed mathematical form for the relationship between variables.",,,ollama,qwen2.5:3b,1.4058445420014325,1,89,110,,0.0,0.5,0,,,auto-score; manually sanity-check before final submission
E002,concept,L2,Why is KNN called a non-parametric method?,KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.,Lecture 2 KNN non-parametric,stores training data;no fixed parameters,no,answer,V1_retrieval_only,"KNN is called a non-parametric method because it does not make strong assumptions about the form of the relationship between input features and output labels, as evidenced by [Evidence 2] and [Evidence 3]. The key assumption behind KNN is that data points close in feature space are likely to have similar labels or properties, which is stated explicitly in [Evidence 1].

Key Terms:
- Non-parametric Model
- Parametric Model

Caveat:
- KNN does not assume a specific functional form for the relationship between inputs and outputs.

Formula/Caveats:
- The non-parametric nature of KNN means it can adapt to various data distributions without making restrictive assumptions about the underlying model.",6538af76734c;8d1244d95258;9c15f8ecc779;46399ba258fb;0e7b519faa2a,"Lecture2-2026-COMP5541(1).pdf, page 38, chunk 6538af76734c;Lecture2-2026-COMP5541(1).pdf, page 82, chunk 8d1244d95258;Lecture2-2026-COMP5541(1).pdf, page 81, chunk 9c15f8ecc779;Lecture2-2026-COMP5541(1).pdf, page 29, chunk 46399ba258fb;Lecture2-2026-COMP5541(1).pdf, page 9, chunk 0e7b519faa2a",ollama,qwen2.5:3b,3.951629041999695,1,1026,175,,0.0,1.0,1,,,auto-score; manually sanity-check before final submission
E002,concept,L2,Why is KNN called a non-parametric method?,KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.,Lecture 2 KNN non-parametric,stores training data;no fixed parameters,no,answer,V2_router_rewrite_retrieval,"KNN is called a non-parametric method because it does not make strong prior assumptions about the data distribution.

Key terms: Non-parametric Model

Explanation: The provided evidence supports this by stating that KNN is considered a non-parametric model, which implies it lacks strong prior assumptions. This contrasts with parametric models like linear regression, which have predefined forms and parameters (Evidence 3). Additionally, the reflection questions highlight how KNN does not require training to be performed; instead, all that's needed is storing and possibly indexing the training data (Evidence 4 & Evidence 5), further supporting its non-parametric nature.",9c15f8ecc779;8d1244d95258;6538af76734c;46399ba258fb;2e202bed85f3,"Lecture2-2026-COMP5541(1).pdf, page 81, chunk 9c15f8ecc779;Lecture2-2026-COMP5541(1).pdf, page 82, chunk 8d1244d95258;Lecture2-2026-COMP5541(1).pdf, page 38, chunk 6538af76734c;Lecture2-2026-COMP5541(1).pdf, page 29, chunk 46399ba258fb;Lecture2-2026-COMP5541(1).pdf, page 34, chunk 2e202bed85f3",ollama,qwen2.5:3b,5.377883041997848,2,1236,278,"route={'in_scope': 'yes', 'question_type': 'concept', 'lecture_topic': 'K-Nearest Neighbors (KNN) algorithm and its classification methods', 'search_query': 'Lecture 2 KNN Why is KNN called a non-parametric method?'}",0.0,1.0,1,,,auto-score; manually sanity-check before final submission
E002,concept,L2,Why is KNN called a non-parametric method?,KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.,Lecture 2 KNN non-parametric,stores training data;no fixed parameters,no,answer,V3_retrieval_verifier,"KNN is called a non-parametric method because it does not make strong assumptions about the form of the relationship between input features and output labels, as evidenced by [Evidence 2] and [Evidence 3]. The key assumption behind KNN is that data points close in feature space are likely to have similar labels or properties, which is stated explicitly in [Evidence 1].

Key Terms:
- Non-parametric Model
- Parametric Model

Caveat:
- KNN does not assume a specific functional form for the relationship between inputs and outputs.

Formula/Caveats:
- The non-parametric nature of KNN means it can adapt to various data distributions without making restrictive assumptions about the underlying model.",6538af76734c;8d1244d95258;9c15f8ecc779;46399ba258fb;0e7b519faa2a,"Lecture2-2026-COMP5541(1).pdf, page 38, chunk 6538af76734c;Lecture2-2026-COMP5541(1).pdf, page 82, chunk 8d1244d95258;Lecture2-2026-COMP5541(1).pdf, page 81, chunk 9c15f8ecc779;Lecture2-2026-COMP5541(1).pdf, page 29, chunk 46399ba258fb;Lecture2-2026-COMP5541(1).pdf, page 9, chunk 0e7b519faa2a",ollama,qwen2.5:3b,8.282537000995944,2,2360,334,draft_then_verifier_rejected_overcorrection,0.0,1.0,1,,,auto-score; manually sanity-check before final submission
E002,concept,L2,Why is KNN called a non-parametric method?,KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.,Lecture 2 KNN non-parametric,stores training data;no fixed parameters,no,answer,V4_full_router_retrieval_verifier,"KNN is called a non-parametric method because it does not make strong prior assumptions about the data distribution.

Key terms: Non-parametric Model

Explanation: The provided evidence supports this by stating that KNN is considered a non-parametric model, which implies it lacks strong prior assumptions. This contrasts with parametric models like linear regression, which have predefined forms and parameters (Evidence 3). Additionally, the reflection questions highlight how KNN does not require training to be performed; instead, all that's needed is storing and possibly indexing the training data (Evidence 4 & Evidence 5), further supporting its non-parametric nature.",9c15f8ecc779;8d1244d95258;6538af76734c;46399ba258fb;2e202bed85f3,"Lecture2-2026-COMP5541(1).pdf, page 81, chunk 9c15f8ecc779;Lecture2-2026-COMP5541(1).pdf, page 82, chunk 8d1244d95258;Lecture2-2026-COMP5541(1).pdf, page 38, chunk 6538af76734c;Lecture2-2026-COMP5541(1).pdf, page 29, chunk 46399ba258fb;Lecture2-2026-COMP5541(1).pdf, page 34, chunk 2e202bed85f3",ollama,qwen2.5:3b,8.84178245899966,3,2634,385,"route={""in_scope"": ""yes"", ""question_type"": ""concept"", ""lecture_topic"": ""K-Nearest Neighbors (KNN) algorithm and its classification methods"", ""search_query"": ""Lecture 2 KNN Why is KNN called a non-parametric method?""}",0.0,1.0,1,,,auto-score; manually sanity-check before final submission
E002,concept,L2,Why is KNN called a non-parametric method?,KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.,Lecture 2 KNN non-parametric,stores training data;no fixed parameters,no,answer,A1_full_without_router,"KNN is called a non-parametric method because it does not make strong prior assumptions about the data distribution.

Key terms: Non-parametric Model

Explanation: The provided evidence supports this by stating that KNN is considered a non-parametric model, which implies it lacks strong prior assumptions. This contrasts with parametric models like linear regression, which have predefined forms and parameters (Evidence 3). Additionally, the reflection questions highlight how KNN does not require training to be performed; instead, all that's needed is storing and possibly indexing the training data (Evidence 4 & Evidence 5), further supporting its non-parametric nature.",9c15f8ecc779;8d1244d95258;6538af76734c;46399ba258fb;2e202bed85f3,"Lecture2-2026-COMP5541(1).pdf, page 81, chunk 9c15f8ecc779;Lecture2-2026-COMP5541(1).pdf, page 82, chunk 8d1244d95258;Lecture2-2026-COMP5541(1).pdf, page 38, chunk 6538af76734c;Lecture2-2026-COMP5541(1).pdf, page 29, chunk 46399ba258fb;Lecture2-2026-COMP5541(1).pdf, page 34, chunk 2e202bed85f3",ollama,qwen2.5:3b,7.845097416997305,2,2468,344,"route={""in_scope"": ""yes"", ""question_type"": ""comparison"", ""lecture_topic"": ""Lecture 2 KNN"", ""search_query"": ""Lecture 2 KNN Why is KNN called a non-parametric method?""}",0.0,1.0,1,,,auto-score; manually sanity-check before final submission
