case_id,category,lecture_scope,question,reference_answer,source_hint,required_terms,false_premise,expected_behavior
B001,retrieval_concept,L2,"What assumption makes KNN predictions reasonable for nearby data points?","KNN assumes nearby points in feature space tend to have similar labels or outputs.","Lecture 2 KNN","nearby;feature space;similar labels",no,answer
B002,retrieval_concept,L2,"In linear regression, what do the learned weights represent?","The weights define a linear mapping from input features to the predicted output.","Lecture 2 linear regression","weights;linear mapping;input features;predicted output",no,answer
B003,retrieval_concept,L2,"What is the role of the validation set in model development?","The validation set is used to choose models or hyperparameters without using the final test set.","Lecture 2 validation set","validation set;hyperparameters;test set",no,answer
B004,retrieval_concept,L3,"What does one-hot encoding avoid when labels are unordered categories?","One-hot encoding avoids imposing an artificial ordinal relationship between unordered classes.","Lecture 3 one-hot encoding","one-hot;unordered;ordinal",no,answer
B005,retrieval_concept,L3,"What does softmax convert raw class scores into?","Softmax converts raw scores into positive class probabilities that sum to one.","Lecture 3 softmax","raw scores;probabilities;sum to one",no,answer
B006,retrieval_concept,L3,"What is the purpose of cross entropy in a classifier?","Cross entropy is a loss that compares predicted class probabilities with the target class distribution.","Lecture 3 cross entropy","loss;predicted probabilities;target distribution",no,answer
B007,retrieval_concept,L4,"Why do neural networks need nonlinear activation functions?","Without nonlinear activations, stacked linear layers collapse into a single linear transformation.","Lecture 4 activation functions","nonlinear;stacked linear;single linear transformation",no,answer
B008,retrieval_concept,L4,"In backpropagation, what does the chain rule allow us to compute?","The chain rule allows gradients of the loss with respect to intermediate variables and parameters to be computed layer by layer.","Lecture 4 backpropagation","chain rule;gradients;loss;parameters",no,answer
B009,retrieval_concept,L5,"What is weight sharing in a convolutional layer?","Weight sharing means the same filter weights are applied at different spatial locations of the input.","Lecture 5 convolution","same filter weights;spatial locations;input",no,answer
B010,retrieval_concept,L5,"What does a pooling layer usually do to the spatial size of a feature map?","Pooling usually downsamples the spatial resolution of the feature map while keeping the channel count unchanged.","Lecture 5 pooling","downsamples;spatial resolution;channel count",no,answer
B011,retrieval_concept,L6,"What is dropout used for during neural network training?","Dropout randomly disables units during training as a regularization method to reduce overfitting.","Lecture 6 dropout","randomly disables;training;regularization;overfitting",no,answer
B012,retrieval_concept,L6,"What is Kaiming initialization mainly designed for?","Kaiming initialization is mainly designed for networks using ReLU-like activations.","Lecture 6 initialization","Kaiming;ReLU;initialization",no,answer
B013,retrieval_concept,L7,"What information does an RNN hidden state carry across time?","The hidden state carries information from previous time steps into the current computation.","Lecture 7 RNN","hidden state;previous time steps;current computation",no,answer
B014,retrieval_concept,L8,"What are attention weights used for?","Attention weights determine how much each input or encoder state contributes to the context vector.","Lecture 8 attention","attention weights;input;encoder state;context vector",no,answer
B015,retrieval_concept,L9,"What is the goal of a generative model?","A generative model learns a distribution that can produce new samples similar to the training data.","Lecture 9 generative models","distribution;new samples;training data",no,answer
B016,reasoning_comparison,L2,"Why should K in KNN be selected using validation data instead of the test set?","Validation data is for hyperparameter selection, while the test set should remain reserved for final unbiased evaluation.","Lecture 2 validation test split","validation;hyperparameter;test set;final evaluation",no,answer
B017,reasoning_comparison,L2,"Why can a very flexible model have high variance?","A very flexible model can fit training noise and become sensitive to the sampled training data, causing overfitting.","Lecture 2 bias variance","flexible model;training noise;sensitive;overfitting",no,answer
B018,reasoning_comparison,L3,"How do L1 and L2 regularization differ in their effect on weights?","L1 encourages sparse weights, while L2 shrinks weights more smoothly without usually making them exactly zero.","Lecture 3 regularization","L1;sparse;L2;shrink",no,answer
B019,reasoning_comparison,L3,"Why can minibatch gradient descent be noisier than full-batch gradient descent?","A minibatch uses only a subset of examples, so its gradient estimate has higher variance than a full-batch gradient.","Lecture 3 minibatch SGD","subset;higher variance;full batch",no,answer
B020,reasoning_comparison,L3,"Why can AdaGrad's effective learning rate become too small over training?","AdaGrad accumulates squared gradients in the denominator, so the effective learning rate can decay continually.","Lecture 3 AdaGrad","accumulates squared gradients;learning rate;decay",no,answer
B021,reasoning_comparison,L4,"Why does ReLU often train better than sigmoid in hidden layers?","ReLU is non-saturating on the positive side and can reduce vanishing-gradient problems compared with saturated sigmoid units.","Lecture 4 ReLU sigmoid","ReLU;non-saturating;vanishing gradient;sigmoid",no,answer
B022,reasoning_comparison,L4,"Why is a deep network without nonlinearities no more expressive than a linear model?","A composition of linear transformations is still a single linear transformation, so depth alone does not create nonlinear decision boundaries.","Lecture 4 nonlinear activation","linear transformations;single linear transformation;nonlinear decision boundary",no,answer
B023,reasoning_comparison,L5,"Why are convolutional layers more parameter-efficient than fully connected layers for images?","Convolutional layers use local connectivity and weight sharing instead of separate weights for every input-output pair.","Lecture 5 convolution motivation","local connectivity;weight sharing;fewer parameters",no,answer
B024,reasoning_comparison,L5,"Why can stacking several 3x3 convolution layers be useful?","Stacking 3x3 layers increases the receptive field while adding nonlinearities and often using fewer parameters than one large filter.","Lecture 5 receptive field","3x3;receptive field;nonlinearities;fewer parameters",no,answer
B025,reasoning_comparison,L6,"Why is horizontal flip often safer than upside-down augmentation for natural images?","Horizontal flipping often preserves semantics, while upside-down images can change semantics or create a train-test distribution mismatch.","Lecture 6 augmentation","horizontal flip;semantics;upside-down;distribution mismatch",no,answer
B026,reasoning_comparison,L6,"Why should a model be able to overfit a tiny dataset during sanity checking?","If the model cannot overfit a tiny dataset, there may be a bug in the data pipeline, model, loss, or optimizer.","Lecture 6 sanity check","overfit tiny dataset;bug;pipeline;optimizer",no,answer
B027,reasoning_comparison,L7,"Why was LSTM introduced compared with vanilla RNNs?","LSTM uses gates and a cell state to preserve longer-range information and reduce vanishing-gradient issues.","Lecture 7 LSTM","gates;cell state;long-range;vanishing gradient",no,answer
B028,reasoning_comparison,L8,"Why are Transformers more parallelizable than RNNs?","Transformers use attention rather than recurrent step-by-step state updates, so token computations can be parallelized.","Lecture 8 Transformer","attention;not recurrent;parallel",no,answer
B029,reasoning_comparison,L9,"Why can PixelRNN generation be slow?","PixelRNN generates pixels sequentially, so generation cannot be fully parallelized over pixels.","Lecture 9 PixelRNN","sequentially;slow;generation",no,answer
B030,reasoning_comparison,L9,"Why can GAN loss curves be hard to interpret by themselves?","GAN training is a dynamic two-player game, so losses can oscillate and generated samples should also be inspected.","Lecture 9 GAN training and T8 GAN tutorial","two-player game;oscillate;generated samples",no,answer
B031,calculation_formula,L2,"For linear regression with 8 input features and one scalar output, how many parameters are there if a bias term is included?","There are 9 parameters: 8 feature weights plus 1 bias.","Lecture 2 linear regression parameters","8 weights;1 bias;9",no,answer
B032,calculation_formula,L2,"If a model has high training error and high validation error, is this more likely high bias or high variance?","This is more likely high bias because the model underfits both training and validation data.","Lecture 2 bias variance","high training error;high validation error;high bias;underfit",no,answer
