case_id,category,lecture_scope,question,reference_answer,source_hint,required_terms,false_premise,expected_behavior
E001,concept,L2,"What is the main assumption behind the K-nearest neighbor classifier?","Nearby points in feature space are likely to have similar labels or properties.","Lecture 2 KNN assumption","feature space;nearby;similar labels",no,answer
E002,concept,L2,"Why is KNN called a non-parametric method?","KNN mainly stores the training data and does not learn a fixed parameter vector like linear regression.","Lecture 2 KNN non-parametric","stores training data;no fixed parameters",no,answer
E003,comparison,L2,"Why should the test set not be used to choose K in KNN?","The validation set is used for hyperparameter selection; the test set should be reserved for final unbiased evaluation.","Lecture 2 validation/test split","validation;hyperparameter;test set;final evaluation",no,answer
E004,calculation,L2,"For linear regression with 12 input features and one scalar output, how many parameters are there if a bias term is included?","There are 13 parameters: 12 feature weights plus 1 bias.","Lecture 2 linear regression parameter count","12 weights;1 bias;13",no,answer
E005,concept,L2,"What do high bias and high variance mean in the bias-variance tradeoff?","High bias means the model is too simple and underfits; high variance means the model is too sensitive to training data and overfits.","Lecture 2 bias variance","high bias;underfitting;high variance;overfitting",no,answer
E006,comparison,L2,"How can we reduce high variance according to the course materials?","Use a simpler model, add more training data, or use regularization.","Lecture 2 bias variance remedies","simpler model;more training data;regularization",no,answer
E007,false_premise,L2,"Since a higher-degree polynomial always improves test performance, why should we use the highest degree available?","The premise is wrong. Higher model complexity can reduce bias but may increase variance and overfit, so validation is needed.","Lecture 2 polynomial expansion and overfitting","premise is wrong;overfit;validation",yes,correct_premise
E008,concept,L2,"What does the mean squared error objective measure in linear regression?","It measures the average squared difference between predictions and ground-truth labels.","Lecture 2 MSE","average;squared difference;predictions;labels",no,answer
E009,concept,L3,"Why is one-hot encoding preferred for unordered multi-class labels?","One-hot encoding avoids imposing an artificial ordinal relationship between categories.","Lecture 3 classification encoding","one-hot;unordered;ordinal",no,answer
E010,concept,L3,"What does the sigmoid function represent in logistic regression?","It maps a linear score to a probability for binary classification.","Lecture 3 logistic regression","sigmoid;linear score;probability;binary classification",no,answer
E011,false_premise,L3,"Since logistic regression uses a sigmoid, why can it solve XOR without hidden layers?","The premise is wrong. The sigmoid does not make the decision boundary nonlinear; logistic regression still has a linear decision boundary.","Lecture 3 logistic regression and Lecture 4 linear limitation","premise is wrong;linear decision boundary;XOR",yes,correct_premise
E012,concept,L3,"What properties should a softmax output vector have?","Its components are positive probabilities and sum to 1.","Lecture 3 softmax","positive;probabilities;sum to 1",no,answer
E013,concept,L3,"What is cross entropy used for in a softmax classifier?","It measures the loss between the predicted class probability distribution and the one-hot target distribution.","Lecture 3 softmax cross entropy","loss;predicted probability;one-hot target",no,answer
E014,comparison,L3,"How do L1 and L2 regularization differ in their effect on weights?","L1 tends to encourage sparse weights, while L2 shrinks weights but usually does not make them exactly zero.","Lecture 3 L1 L2 regularization","L1;sparse;L2;shrink",no,answer
E015,concept,L3,"Why can a minibatch gradient be noisy?","It is estimated from a subset of training examples, so it has higher variance than the full-batch gradient.","Lecture 3 SGD minibatch","subset;higher variance;full batch",no,answer
E016,comparison,L3,"What is the role of momentum in gradient-based optimization?","Momentum accumulates a velocity from past gradients to smooth noisy updates and accelerate movement in consistent directions.","Lecture 3 momentum","velocity;past gradients;smooth;accelerate",no,answer
E017,comparison,L3,"Why can AdaGrad's effective learning rate become too small?","AdaGrad accumulates squared gradients in the denominator, so the effective learning rate can decay continually.","Lecture 3 AdaGrad","accumulates squared gradients;learning rate;decay",no,answer
E018,concept,L3,"What two ideas are combined in Adam?","Adam combines momentum-like first-moment estimates with RMSProp-like adaptive second-moment estimates.","Lecture 3 Adam","momentum;RMSProp;first moment;second moment",no,answer
E019,concept,L4,"Why do neural networks need nonlinear activation functions?","Without nonlinear activations, stacked linear layers collapse into a single linear transformation.","Lecture 4 activation function","nonlinear;stacked linear;single linear transformation",no,answer
E020,concept,L4,"What is the key limitation of linear models that neural networks address?","Linear models have linear decision boundaries and cannot separate data that are nonlinear in nature.","Lecture 4 limitation of linear models","linear decision boundary;nonlinear data",no,answer
E021,calculation,L4,"For a neuron y=f(w1*x1+w2*x2), what term multiplies the upstream gradient when computing dL/dw1?","The local derivative contributes f'(z)*x1, multiplied by the upstream gradient dL/dy.","Lecture 4 artificial neuron backprop","upstream gradient;f'(z);x1",no,answer
E022,concept,L4,"What are the main steps of backpropagation in a neural network?","Run the forward pass, compute the loss, propagate gradients backward using the chain rule, and update weights.","Lecture 4 backprop overview","forward pass;loss;chain rule;update weights",no,answer
E023,comparison,L4,"Why does ReLU help compared with sigmoid in hidden layers?","ReLU is non-saturating on the positive side and reduces vanishing-gradient problems compared with saturated sigmoid units.","Lecture 4 activations and Lecture 6 activation setup","ReLU;non-saturating;vanishing gradient;sigmoid",no,answer
E024,false_premise,L4,"Since adding more hidden units always improves generalization, why not use the largest network possible?","The premise is wrong. Larger networks may reduce training error but can overfit and increase variance without regularization or data.","Lecture 4 capacity and Lecture 6 regularization","premise is wrong;overfit;variance;regularization",yes,correct_premise
E025,calculation,L4,"If a ReLU input z is negative, what is the ReLU derivative used in backpropagation?","For standard ReLU the derivative is 0 when z is negative.","Lecture 4 ReLU derivative","ReLU;derivative;0;negative",no,answer
E026,concept,L4,"In a computational graph, how does an add gate distribute gradient?","An add gate passes the upstream gradient unchanged to each input branch.","Lecture 4 gradient flow gates","add gate;upstream gradient;unchanged",no,answer
E027,concept,L5,"Why are convolution layers more suitable than fully connected layers for images?","Convolution preserves spatial structure, uses local connectivity and weight sharing, and has fewer parameters than fully connected layers.","Lecture 5 convolution motivation","spatial structure;local connectivity;weight sharing;fewer parameters",no,answer
